meskie,damskie,nazwiska_m,nazwiska_d,miasto
BARTOSZ,JADWIGA,OLSZEWSKI,OLSZEWSKA,Nakło nad Notecią
RYSZARD,PAULINA,DUDEK,ADAMCZYK,Bytów
TADEUSZ,JUSTYNA,JAWORSKI,JAWORSKA,Lidzbark Warmiński
ARTUR,JANINA,STĘPIEŃ,MALINOWSKA,Radzyń Podlaski
JAROSŁAW,WIKTORIA,MALINOWSKI,STĘPIEŃ,Pleszew
SEBASTIAN,IRENA,ADAMCZYK,DUDEK,Namysłów
SŁAWOMIR,BOŻENA,GÓRSKI,GÓRSKA,Łask
DAMIAN,RENATA,PAWLAK,NOWICKA,Ropczyce
JANUSZ,MAJA,SIKORA,WITKOWSKA,Brzesko
PATRYK,AGATA,NOWICKI,PAWLAK,Łęczna
MIROSŁAW,URSZULA,WITKOWSKI,SIKORA,Bieruń
ROMAN,SYLWIA,RUTKOWSKI,WALCZAK,Rypin
FILIP,PATRYCJA,WALCZAK,RUTKOWSKA,Złotów
DANIEL,OLIWIA,BARAN,MICHALAK,Chodzież
ANTONI,EMILIA,MICHALAK,OSTROWSKA,Przasnysz
KAROL,HELENA,OSTROWSKI,SZEWCZYK,Limanowa
PRZEMYSŁAW,IZABELA,SZEWCZYK,BARAN,Sokołów Podlaski
HENRYK,WERONIKA,TOMASZEWSKI,TOMASZEWSKA,Szamotuły
ALEKSANDER,ANETA,ZALEWSKI,ZALEWSKA,Rawa Mazowiecka
ADRIAN,EWELINA,WRÓBLEWSKI,WRÓBLEWSKA,Grójec
KAZIMIERZ,MARTYNA,PIETRZAK,PIETRZAK,Oborniki
WIESŁAW,KLAUDIA,JASIŃSKI,JASIŃSKA,Myślenice
FRANCISZEK,GABRIELA,DUDA,MARCINIAK,Nowa Ruda
MIKOŁAJ,LENA,MARCINIAK,JAKUBOWSKA,Białogard
DOMINIK,MARZENA,SADOWSKI,SADOWSKA,Grajewo
ARKADIUSZ,AMELIA,BĄK,ZAWADZKA,Prudnik
MARIAN,DOMINIKA,ZAWADZKI,DUDA,Hajnówka
BARTŁOMIEJ,KINGA,JAKUBOWSKI,CHMIELEWSKA,Bartoszyce
WIKTOR,EDYTA,WILK,WŁODARCZYK,Kętrzyn
LESZEK,KAMILA,CHMIELEWSKI,BORKOWSKA,Kłodzko
OLEKSANDR,MARIANNA,BORKOWSKI,BĄK,Chełmno
KRYSTIAN,STANISŁAWA,WŁODARCZYK,WILK,Wałbrzych
WALDEMAR,ALINA,SOKOŁOWSKI,SOKOŁOWSKA,Szczecinek
RADOSŁAW,WIESŁAWA,SZCZEPAŃSKI,SZCZEPAŃSKA,Przemyśl
BOGDAN,TETIANA,SAWICKI,SAWICKA,Giżycko
IGOR,WANDA,LIS,LIS,Grudziądz
ZDZISŁAW,DARIA,KUCHARSKI,KUCHARSKA,Sanok
KONRAD,NATALIIA,KALINOWSKI,KALINOWSKA,Bielawa
HUBERT,OLENA,WYSOCKI,MAZUREK,Gorlice
EDWARD,LIDIA,MAZUREK,MACIEJEWSKA,Ostrowiec Świętokrzyski
MARCEL,MARIOLA,KUBIAK,KUBIAK,Chojnice
OSKAR,IRYNA,MACIEJEWSKI,WYSOCKA,Jasło
MIECZYSŁAW,LUCYNA,KOŁODZIEJ,KOŁODZIEJ,Kraśnik
WŁADYSŁAW,NIKOLA,KAŹMIERCZAK,CZARNECKA,Włocławek
MAKSYMILIAN,LAURA,CZARNECKI,KAŹMIERCZAK,Chełm
SERHII,MILENA,KONIECZNY,URBAŃSKA,Ełk
ANDRII,WIOLETTA,SOBCZAK,KRUPA,Nysa
CZESŁAW,ANTONINA,KRUPA,SOBCZAK,Nowa Sól
NIKODEM,MIROSŁAWA,GŁOWACKI,SIKORSKA,Jarosław
MIŁOSZ,OLHA,MRÓZ,GŁOWACKA,Lubań
VOLODYMYR,ANGELIKA,URBAŃSKI,KRAJEWSKA,Zamość
EUGENIUSZ,OKSANA,KOZAK,ZAKRZEWSKA,Starachowice
LEON,OLGA,ZAKRZEWSKI,KOZAK,Wałcz
BOGUSŁAW,MARIIA,KRAJEWSKI,ZIÓŁKOWSKA,Zambrów
IRENEUSZ,SVITLANA,WASILEWSKI,LASKOWSKA,Bytom
OLIWIER,MICHALINA,LASKOWSKI,WASILEWSKA,Zduńska Wola
DMYTRO,ANASTASIIA,SIKORSKI,GAJEWSKA,Brzeg
STEFAN,YULIIA,ZIÓŁKOWSKI,MRÓZ,Lębork
WITOLD,VIKTORIIA,GAJEWSKI,SZULC,Szczytno
SYLWESTER,ILONA,SZULC,MAKOWSKA,Starogard Gdański
IVAN,SANDRA,MAKOWSKI,KACZMARCZYK,Zgorzelec
ALAN,NADIA,KACZMARCZYK,BRZEZIŃSKA,Mrągowo
ZYGMUNT,BOGUMIŁA,BARANOWSKI,PRZYBYLSKA,Końskie
MAKSYM,KORNELIA,BRZEZIŃSKI,BARANOWSKA,Inowrocław
CEZARY,KAZIMIERA,PRZYBYLSKI,SZYMCZAK,Kościerzyna
WŁODZIMIERZ,POLA,KANIA,ADAMSKA,Koło
IGNACY,LILIANA,JANIK,BŁASZCZYK,Słupsk
GABRIEL,ŁUCJA,SZYMCZAK,BOROWSKA,Stalowa Wola
ZENON,IGA,BOROWSKI,GÓRECKA,Skarżysko-Kamienna
JULIAN,NINA,ADAMSKI,KANIA,Dzierżoniów
MYKOLA,KATERYNA,BŁASZCZYK,SZCZEPANIAK,Nowy Targ
NORBERT,MARLENA,GÓRECKI,JANIK,Augustów
TYMON,MARCELINA,SZCZEPANIAK,LESZCZYŃSKA,Sandomierz
TYMOTEUSZ,BOGUSŁAWA,CHOJNACKI,CHOJNACKA,Jawor
VITALII,GENOWEFA,KOZIOŁ,CZERWIŃSKA,Wieluń
YURII,SABINA,LESZCZYŃSKI,LIPIŃSKA,Ostrołęka
IHOR,ANITA,MUCHA,WESOŁOWSKA,Krotoszyn
FABIAN,HENRYKA,LIPIŃSKI,MIKOŁAJCZYK,Biłgoraj
VASYL,JAGODA,ANDRZEJEWSKI,ANDRZEJEWSKA,Żagań
MYKHAILO,LIUDMYLA,KOWALEWSKI,KOWALEWSKA,Bielsk Podlaski
VLADYSLAV,JÓZEFA,CZERWIŃSKI,MUCHA,Działdowo
BŁAŻEJ,STEFANIA,MIKOŁAJCZYK,JAROSZ,Ozorków
ARTEM,REGINA,WESOŁOWSKI,ZIĘBA,Radom
OLEH,ANIELA,ZIĘBA,CIEŚLAK,Konin
ERYK,KARINA,JAROSZ,MARKOWSKA,Piekary Śląskie
EMIL,DIANA,CIEŚLAK,KONIECZNA,Świętochłowice
VIKTOR,CZESŁAWA,KOWALIK,KOŁODZIEJCZYK,Tarnobrzeg
BOHDAN,ADRIANNA,MARKOWSKI,KOWALIK,Iława
OLEKSII,WŁADYSŁAWA,MUSIAŁ,KOZIOŁ,Zakopane
NATAN,WIOLETA,KOŁODZIEJCZYK,MUSIAŁ,Świecie
LECH,HALYNA,KOPEĆ,BRZOZOWSKA,Ostrów Mazowiecka
DENYS,SARA,BRZOZOWSKI,DOMAŃSKA,Suwałki
KSAWERY,ROKSANA,PIĄTEK,ORŁOWSKA,Tomaszów Mazowiecki
WACŁAW,DAGMARA,NOWACKI,KRUK,Ostróda
BRONISŁAW,SOFIIA,ŻAK,TOMCZYK,Elbląg
RUSLAN,MALWINA,DOMAŃSKI,NOWACKA,Biała Podlaska
BORYS,MARYNA,PAWLIK,PAWLIK,Radomsko
OLAF,KLARA,ORŁOWSKI,PIĄTEK,Kutno
REMIGIUSZ,VALENTYNA,KUREK,TOMCZAK,Ciechanów
YAROSLAV,ELIZA,KOT,KOPEĆ,Malbork
BOLESŁAW,NADIIA,WÓJTOWICZ,KOT,Świebodzice
PAVLO,KAJA,TOMCZYK,KUREK,Zabrze
KAJETAN,BLANKA,CIESIELSKI,ŻAK,Jelenia Góra
ALIAKSANDR,ŻANETA,KRUK,MARKIEWICZ,Łomża
BERNARD,RÓŻA,TOMCZAK,POLAK,Zawiercie
KUBA,CECYLIA,WAWRZYNIAK,CIESIELSKA,Puławy
VADYM,ANASTAZJA,POLAK,WAWRZYNIAK,Krosno
BRUNO,ZDZISŁAWA,WOLSKI,WÓJTOWICZ,Sieradz
ANATOLII,OLEKSANDRA,MARKIEWICZ,WOLSKA,Myszków
EDMUND,BERNADETA,SOWA,STANKIEWICZ,Łuków
ANDREI,LEOKADIA,STASIAK,JASTRZĘBSKA,Turek
TOBIASZ,ROZALIA,JASTRZĘBSKI,SOWA,Tarnów
ALBERT,LILIANNA,KARPIŃSKI,URBANIAK,Stargard Szczeciński
LUCJAN,JULITA,STANKIEWICZ,CZAJKOWSKA,Kędzierzyn-Koźle
GRACJAN,INNA,URBANIAK,KARPIŃSKA,Bolesławiec
YEVHEN,ALDONA,PIASECKI,KLIMEK,Żary
SEWERYN,VIOLETTA,KLIMEK,STASIAK,Brodnica
ANTON,LIUBOV,ŁUCZAK,WIERZBICKA,Kluczbork
ROMUALD,YANA,CZAJKOWSKI,PIASECKA,Rydułtowy
DAVID,EUGENIA,NAWROCKI,NAWROCKA,Nowy Sącz
ILLIA,BRONISŁAWA,WIERZBICKI,ŁUCZAK,Piła
PETRO,NELA,GAJDA,DZIEDZIC,Gniezno
SZCZEPAN,DANIELA,BIELECKI,SOSNOWSKA,Mielec
ALEXANDER,MATYLDA,DZIEDZIC,BIELECKA,Czeladź
YEVHENII,MAGDA,BEDNAREK,BEDNAREK,Wągrowiec
KORNEL,VERONIKA,STEFAŃSKI,MILEWSKA,Gostyń
NAZAR,CELINA,MADEJ,JANICKA,Jastrzębie-Zdrój
SIARHEI,LARYSA,MILEWSKI,GAJDA,Świdnica
OLIVIER,VALERIIA,JANICKI,STEFAŃSKA,Chrzanów
DZMITRY,ADRIANA,SOSNOWSKI,MADEJ,Opoczno
VALERII,AURELIA,KOWAL,LEŚNIAK,Sosnowiec
STANISLAV,PAULA,SKIBA,MAJCHRZAK,Koszalin
ERNEST,HONORATA,LEŚNIAK,JÓŹWIAK,Siemianowice Śląskie
ALFRED,ALLA,URBAN,MAJ,Pabianice
JOACHIM,KALINA,MAJ,URBAN,Kołobrzeg
ALEX,IZABELLA,JÓŹWIAK,KOWAL,Dębica
DANYLO,LILIIA,MAJCHRZAK,ŚLIWIŃSKA,Kwidzyn
TARAS,BRYGIDA,SOCHA,SKIBA,Łowicz
LUDWIK,OLIVIA,ŚLIWIŃSKI,MAŁECKA,Jarocin
MARK,MARIKA,MAŁECKI,BEDNARCZYK,Świebodzin
LESŁAW,TAMARA,BEDNARCZYK,SOCHA,Andrychów
JĘDRZEJ,ALONA,MAREK,DOBROWOLSKA,Kalisz
BOGUMIŁ,SONIA,DOMAGAŁA,MAREK,Głogów
KOSTIANTYN,POLINA,KASPRZAK,MICHALIK,Świnoujście
GERARD,YELYZAVETA,DOBROWOLSKI,ROMANOWSKA,Ruda Śląska
FELIKS,MIA,WRONA,DOMAGAŁA,Płock
VIACHESLAV,ELWIRA,PAJĄK,WRONA,Racibórz
LEONARD,MARZANNA,MICHALIK,KASPRZAK,Sochaczew
JULIUSZ,MIECZYSŁAWA,MATUSZEWSKI,RATAJCZAK,Mława
DENIS,BOŻENNA,RATAJCZAK,WILCZYŃSKA,Częstochowa
ALEKS,KHRYSTYNA,OLEJNICZAK,MATUSZEWSKA,Chorzów
OLIVER,GERTRUDA,ŚWIĄTEK,RYBAK,Wodzisław Śląski
TEODOR,ANDŻELIKA,ORZECHOWSKI,ORZECHOWSKA,Oświęcim
NIKITA,LUIZA,WILCZYŃSKI,ŚWIĄTEK,Olkusz
KYRYLO,TATIANA,ROMANOWSKI,OLEJNICZAK,Tczew
DORIAN,ARLETA,KUROWSKI,PAJĄK,Wejherowo
MILAN,IVANNA,RYBAK,BUKOWSKA,Police
PAVEL,VICTORIA,ROGOWSKI,KUROWSKA,Czerwionka-Leszczyny
KLAUDIUSZ,MARIANA,OLEJNIK,SOBOLEWSKA,Lubliniec
DANIIL,LIWIA,ŁUKASIK,MAZURKIEWICZ,Rawicz
MYKYTA,NICOLE,MAZURKIEWICZ,OWCZAREK,Dąbrowa Górnicza
YEHOR,VIRA,BUKOWSKI,ŁUKASIK,Zgierz
MARTIN,JUDYTA,GRZELAK,ROGOWSKA,Lubartów
NATANIEL,YEVHENIIA,SROKA,OLEJNIK,Legnica
MATVII,ADELA,OWCZAREK,GRZELAK,Lubin
MAKSIM,ANHELINA,SOBOLEWSKI,KĘDZIERSKA,Knurów
OLEG,NICOLA,KOSIŃSKI,BARAŃSKA,Goleniów
MICHAEL,NATASZA,KĘDZIERSKI,KOSIŃSKA,Polkowice
ALOJZY,DARYNA,ZYCH,MATUSIAK,Trzebinia
ALIAKSEI,JOWITA,BARAŃSKI,SOBCZYK,Wyszków
STEPAN,VANESSA,BEDNARZ,SKOWROŃSKA,Płońsk
GUSTAW,MELANIA,MARSZAŁEK,MARSZAŁEK,Gryfino
VALENTYN,ELENA,SOBCZYK,MARCINKOWSKA,Piotrków Trybunalski
KONSTANTY,FRANCISZKA,MATUSIAK,ZYCH,Ostrów Wielkopolski
MIESZKO,APOLONIA,MARCINKOWSKI,LISOWSKA,Będzin
SAMUEL,MARHARYTA,SKOWROŃSKI,BEDNARSKA,Świdnik
CYPRIAN,LESIA,ŚWIDERSKI,KUCZYŃSKA,Żywiec
BENEDYKT,MILANA,CHRZANOWSKI,BEDNARZ,Września
BRAJAN,INGA,LISOWSKI,CHRZANOWSKA,Bełchatów
TYMOFII,BIANKA,KOZIEŁ,ŚWIDERSKA,Gliwice
RAJMUND,JESSICA,KASPRZYK,SROKA,Tarnowskie Góry
SERGII,ADA,BIAŁEK,KASPRZYK,Kościan
EDUARD,SOFIA,BEDNARSKI,JANISZEWSKA,Jaworzno
DAVYD,ROMANA,WITEK,MORAWSKA,Żory
GIORGI,ALFREDA,KUCZYŃSKI,KOZIEŁ,Żyrardów
FLORIAN,ESTERA,KWIECIEŃ,CHMIEL,Cieszyn
ROSTYSLAV,KARYNA,PLUTA,MUSZYŃSKA,Rybnik
YAUHENI,YEVA,GRZYBOWSKI,BIAŁEK,Siedlce
KEVIN,MARZENNA,CHMIEL,MAŁEK,Bochnia
IWO,ALISA,CZAJKA,GRZYBOWSKA,Śrem
RUDOLF,ZLATA,PALUCH,KWIECIEŃ,Nowy Dwór Mazowiecki
MARCELI,ULIANA,TUREK,JĘDRZEJEWSKA,Łaziska Górne
LEO,KIRA,JANISZEWSKI,WITEK,Leszno
LEONID,MAYA,JĘDRZEJEWSKI,MARCZAK,Skierniewice
YURY,JULIANNA,MUSZYŃSKI,KRZEMIŃSKA,Skawina
ULADZIMIR,LIDIIA,MARCZAK,TUREK,Mysłowice
NAZARII,ELEONORA,MORAWSKI,PLUTA,Sopot
BENIAMIN,OLESIA,MAŁEK,OSIŃSKA,Środa Wielkopolska
VITALI,EMMA,CZAJA,CZAJKA,Wołomin
KORDIAN,BERNADETTA,ŚLIWA,CZAJA,Oleśnica
ARIEL,LILIA,ŻUKOWSKI,PIEKARSKA,Piastów
HIERONIM,RITA,MARZEC,PALUCH,Rumia
JEREMI,MYROSLAVA,KACZOR,KUBICKA,Oława
VICTOR,LUDWIKA,RAK,ŻUKOWSKA,Aleksandrów Łódzki
FRYDERYK,IDA,KUBICKI,MARZEC,Czechowice-Dziedzice
ALEKSY,KSENIIA,PIEKARSKI,CZECH,Reda
MIKHAIL,ZENONA,CZECH,JANOWSKA,Gdynia
ANDRIY,ANETTA,SZCZĘSNY,MICHAŁOWSKA,Bielsko-Biała
WINCENTY,KRISTINA,PRZYBYSZ,BIERNACKA,Tychy
ERWIN,RUSLANA,OSIŃSKI,SERAFIN,Otwock
MAXIMILIAN,FELICJA,GOŁĘBIEWSKI,PRZYBYSZ,Orzesze
TYMUR,DONATA,KRZEMIŃSKI,SZYDŁOWSKA,Pruszków
PATRICK,ARINA,STEFANIAK,GOŁĘBIEWSKA,Legionowo
ULADZISLAU,LUDMIŁA,JANOWSKI,STEFANIAK,Pszczyna
ROLAND,AMANDA,KULESZA,ŚLIWA,Wieliczka
SVIATOSLAV,ALENA,BIERNACKI,STANISZEWSKA,Mińsk Mazowiecki
THOMAS,WALENTYNA,LECH,KACZOR,Pruszcz Gdański
IHAR,WACŁAWA,BANACH,RUDNICKA,Mikołów
ZYGFRYD,VITA,SMOLIŃSKI,POPŁAWSKA,Kobyłka
SERGIUSZ,DARIIA,SZYDŁOWSKI,MURAWSKA,Luboń
OSCAR,GAJA,SERAFIN,LECH,Grodzisk Mazowiecki
OLGIERD,SOLOMIIA,KUJAWA,LEWICKA,Marki
AMADEUSZ,ANASTASIYA,MICHAŁOWSKI,MELNYK,Józefów
ALEH,OTYLIA,LEWICKI,KULESZA,Piaseczno
DZIANIS,ZENOBIA,GÓRA,SMOLIŃSKA,Ząbki
VIKTAR,YULIYA,STANISZEWSKI,KUJAWA,Swarzędz
MIKALAI,ROMUALDA,MURAWSKI,DĘBSKA,
NICOLAS,ALBINA,CIEŚLIK,RAK,
EMILIAN,HILDEGARDA,KACPRZAK,GÓRA,
HENNADII,TATSIANA,RUDNICKI,PODGÓRSKA,
WALENTY,IRMINA,POPŁAWSKI,KACPRZAK,
KEWIN,GIZELA,DĘBSKI,STACHOWIAK,
PETER,VIKTORIA,DROZD,PIĄTKOWSKA,
MAURYCY,VOLHA,STACHOWIAK,CIEŚLIK,
ARTSIOM,KATSIARYNA,PIETRZYK,BANACH,
OLIWER,VLADYSLAVA,ŻUREK,PIETRZYK,
BRUNON,LILLA,GÓRKA,MATYSIAK,
MAKAR,ZOJA,PIĄTKOWSKI,SOWIŃSKA,
AUGUSTYN,SŁAWOMIRA,NIEMIEC,NIEMIEC,
HRYHORII,ANGELINA,BANAŚ,ROSIŃSKA,
RAMAN,ZHANNA,ZAWADA,BANAŚ,
YURIY,BERNARDA,KARCZEWSKI,KARCZEWSKA,
LEOPOLD,NATALLIA,GÓRNY,DROZD,
ARNOLD,RAISA,MATYSIAK,GOŁĘBIOWSKA,
ZAKHAR,ALEXANDRA,PODGÓRSKI,KLIMCZAK,
IURII,VARVARA,ŻURAWSKI,ŻURAWSKA,
MIKITA,ERYKA,SOWIŃSKI,ZAWADA,
VADZIM,BOHDANA,KLIMCZAK,GODLEWSKA,
ILYA,ANZHELA,GOŁĘBIOWSKI,ŻUREK,
VLADIMIR,IRINA,CZYŻ,AUGUSTYNIAK,
NATHAN,KAMILLA,ROSIŃSKI,BIENIEK,
BENJAMIN,LILA,BIENIEK,CZYŻ,
ARSEN,LONGINA,KUŚ,KOMOROWSKA,
MYROSLAV,PELAGIA,GODLEWSKI,SKRZYPCZAK,
JEREMIASZ,RYSZARDA,GRUSZKA,GROCHOWSKA,
CHRISTIAN,NEL,KRAWIEC,GRUSZKA,
OKTAWIAN,MIRELA,AUGUSTYNIAK,KUŚ,
HERBERT,FAUSTYNA,SKRZYPCZAK,WINIARSKA,
ALEKSANDR,DARYA,GROCHOWSKI,RÓŻAŃSKA,
JACOB,EVA,PTAK,GÓRKA,
ADOLF,WALERIA,PANEK,SZCZĘSNA,
ANATOL,MARINA,GIL,KULIK,
ION,JAGNA,PRZYBYŁA,PRZYBYŁA,
ALBIN,TEODOZJA,RÓŻAŃSKI,CYBULSKA,
MAX,TEODORA,KULIK,KRAWIEC,
WILHELM,SNIZHANA,WINIARSKI,ZAREMBA,
HUGO,ANASTASIA,KONOPKA,LEŚNIEWSKA,
KIRYL,NATALIYA,KOMOROWSKI,KONOPKA,
EMANUEL,MARIYA,SIWEK,PTAK,
VALERY,JAŚMINA,ZAREMBA,PANEK,
KORNELIUSZ,SAMANTA,SŁOWIK,SŁOWIK,
JONASZ,YAROSLAVA,CYBULSKI,GIL,
MARKO,EMILIIA,MELNYK,KRZYŻANOWSKA,
DANYIL,OLIMPIA,SZCZEPANIK,MIKOŁAJCZAK,
MIRON,ADELAJDA,LEŚNIEWSKI,CICHOCKA,
HLIB,MARYIA,GRZYB,CICHOŃ,
TIMUR,KSENIA,KŁOS,TOKARSKA,
WALTER,MARCELA,KRZYŻANOWSKI,SZCZEPANIK,
KIRIL,ZORIANA,MIELCZAREK,SIWEK,
PAUL,GALYNA,CICHOŃ,MIELCZAREK,
XAVIER,MARYLA,MŁYNARCZYK,ZARZYCKA,
JONATAN,OKTAWIA,TOKARSKI,GRACZYK,
LEV,EMILY,ZARZYCKI,SZYMCZYK,
ALFONS,KONSTANCJA,GRACZYK,MŁYNARCZYK,
ALEXANDR,NOEMI,KACZYŃSKI,STRZELECKA,
VLADISLAV,NIKOL,MIKOŁAJCZAK,BARTKOWIAK,
EDWIN,EVELINA,BUCZEK,BUCZEK,
NIKOLAS,SOPHIE,STAŃCZYK,KŁOS,
KASPER,CLAUDIA,SZOSTAK,STAŃCZYK,
YAN,LEA,CICHOCKI,MAĆKOWIAK,
OREST,PAMELA,WĘGRZYN,KACZYŃSKA,
SERGHEI,LUCJA,BIERNAT,SZCZYGIEŁ,
MANFRED,ANZHELIKA,SZYMCZYK,KOSTRZEWA,
HELMUT,ZYTA,JUREK,BIERNAT,
MATTHEW,VIKTORYIA,STRZELECKI,JANIAK,
ARON,WANESSA,SZCZYGIEŁ,SZOSTAK,
KRYSPIN,ZOIA,SKOWRON,JANUS,
LIUBOMYR,NELIA,BARTKOWIAK,WĘGRZYN,
ZIEMOWIT,STELLA,MAĆKOWIAK,SIENKIEWICZ,
MYKHAYLO,IULIIA,BOGUSZ,NIEWIADOMSKA,
ALI,MILA,JANUS,GRZYB,
ANTHONY,MICHELLE,CIEŚLA,FILIPIAK,
JOHN,ANA,GAWRON,SKOWRON,
TYTUS,LARA,GĄSIOR,KUCHARCZYK,
VITALIY,TETYANA,FILIPIAK,KALETA,
GINTER,ZINAIDA,KUCHARCZYK,GÓRNA,
CHRISTOPHER,SVIATLANA,KALETA,BOGUSZ,
PHILIP,BOGNA,KUBIK,RAKOWSKA,
WERNER,TOLA,NIEWIADOMSKI,GAWRON,
DAVIT,LEONARDA,KOSTRZEWA,KUBIK,
ANDREAS,MIRELLA,JANIAK,KSIĄŻEK,
MOHAMED,INEZ,KULA,JUREK,
TEOFIL,LIUDMILA,RAKOWSKI,BAGIŃSKA,
HEORHII,SARAH,BAGIŃSKI,CIEŚLA,
MAXIM,GANNA,SIENKIEWICZ,ANTCZAK,
ARSENII,SVETLANA,KSIĄŻEK,BARTCZAK,
KSAWIER,ALIAKSANDRA,RZEPKA,ŻEBROWSKA,
SERGIY,ADELINA,GAWLIK,BANASIAK,
SERHIY,VALENTINA,PAŁKA,GĄSIOR,
MARCO,FELIKSA,ZARĘBA,RÓŻYCKA,
VINCENT,TAISIIA,RÓŻYCKI,GAWLIK,
RAFAEL,OLA,ANTCZAK,KRÓLIKOWSKA,
MAKS,ANGELA,FRĄCZEK,MIKULSKA,
FEDIR,KRZYSZTOFA,MALEC,ZARĘBA,
MIHAIL,SOPHIA,BARTCZAK,TRZCIŃSKA,
OSTAP,MIRIAM,TRZCIŃSKI,HAJDUK,
PATRYCJUSZ,VASYLYNA,ŻEBROWSKI,ROGALSKA,
ANATOLI,INES,ROGALSKI,KULA,
SIMON,VITALINA,DŁUGOSZ,FRĄCZEK,
DAMIR,LINA,MIKULSKI,RZEPKA,
VIACHASLAU,NATALIE,BANASIAK,DŁUGOSZ,
JONATHAN,MAIIA,KRÓLIKOWSKI,GRZEGORCZYK,
LECHOSŁAW,GALINA,HAJDUK,ROJEK,
WALERIAN,ANTONIA,ROGALA,MALEC,
VADIM,NADZIEJA,ROJEK,ROGALA,
YAHOR,AMINA,LACH,RADOMSKA,
RICHARD,EDWARDA,TKACZYK,MALISZEWSKA,
ELIASZ,ELINA,KISIEL,PAŁKA,
KLEMENS,ROMA,BOREK,DOBOSZ,
NICHOLAS,ELFRYDA,GRZEGORCZYK,TROJANOWSKA,
VASILI,BOLESŁAWA,STEC,GAWROŃSKA,
BRIAN,KSENIYA,DOBOSZ,WITCZAK,
WILLIAM,ERIKA,GAWROŃSKI,STEC,
IRAKLI,MARIETTA,TROJANOWSKI,TKACZYK,
KANSTANTSIN,LIVIA,MALISZEWSKI,LACH,
ERIK,IZA,RYBICKI,BOREK,
ANTONIO,VERONICA,WĄSIK,RYBICKA,
MYRON,YANINA,ŚLUSARCZYK,KOVALCHUK,
LEONARDO,MANUELA,RADOMSKI,MIKA,
ALEXANDRU,SALOMEA,WITCZAK,BOGUCKA,
LIAM,KLEMENTYNA,WOLNY,FRANKOWSKA,
KASJAN,SOFIYA,MIKA,KISIEL,
LUKA,ARLETTA,ZABOROWSKI,ZABOROWSKA,
DEMIAN,NIKA,KMIECIK,KARWOWSKA,
DANIL,ANDREA,LIPSKI,WĄSIK,
MEHMET,GLORIA,WALKOWIAK,GAŁĄZKA,
DMITRII,EDELTRAUDA,BIAŁAS,ŚLUSARCZYK,
STANISLAU,JANA,PAWELEC,KMIECIK,
LUCAS,KLAUDYNA,GRZESIAK,KACZOROWSKA,
LONGIN,ISABELLA,FRĄCKOWIAK,SHEVCHENKO,
WAWRZYNIEC,FLORENTYNA,SOKÓŁ,GRZESIAK,
KYRYL,PALINA,KARWOWSKI,KWAŚNIEWSKA,
KOSMA,MARGARITA,GAŁĄZKA,LIPSKA,
ROCH,ALA,WNUK,KUBACKA,
JACENTY,ROKSOLANA,BOGUCKI,WIĘCKOWSKA,
SERGEI,VALERYIA,KACZOROWSKI,BIAŁAS,
